;tot_current;current_0;current_1;tot_Tree;Tree_0;Tree_1;tot_MPL;MPL_0;MPL_1;tot_SVC;SVC_0;SVC_1;tot_Voting;Voting_0;Voting_1
PRODUCTIVITY_MAGNITUDE_DIVISOR;12.171452;12.165747;12.191742;11.907808;12.397259;11.652926;11.907808;11.908683;11.836824;11.907808;11.94687;11.871239;11.907808;12.30291;10.634335
PUBLIC_TRANSIT_COST;0.055275;0.055103;0.055887;0.08826;0.089237;0.087752;0.08826;0.088272;0.087316;0.08826;0.088078;0.08843;0.08826;0.088878;0.086268
SIZE_MARKET;10.00942;10.00523;10.024325;10.023821;10.029181;10.02103;10.023821;10.023359;10.061364;10.023821;10.015508;10.031604;10.023821;10.029884;10.004282
STICKY_PRICES;0.5;0.500092;0.499673;0.49998;0.499591;0.500182;0.49998;0.499989;0.499215;0.49998;0.499832;0.500118;0.49998;0.500179;0.499337
TAX_ESTATE_TRANSACTION;0.004974;0.00497;0.004987;0.004972;0.004963;0.004977;0.004972;0.004972;0.004988;0.004972;0.00497;0.004975;0.004972;0.004965;0.004997
TAX_PROPERTY;0.004974;0.004969;0.00499;0.004974;0.004978;0.004971;0.004974;0.004974;0.004967;0.004974;0.004972;0.004975;0.004974;0.004976;0.004966
TOTAL_DAYS;3817.18141;3819.114253;3810.306623;4399.058195;4460.3949;4367.117066;4399.058195;4361.988978;7405.438626;4399.058195;3431.820335;5304.570218;4399.058195;4377.663317;4468.017124
ALTERNATIVE0_False;0.007536;0.008276;0.004906;0.49845;0.49797;0.4987;0.49845;0.498785;0.471264;0.49845;0.498139;0.498741;0.49845;0.499129;0.496263
ALTERNATIVE0_True;0.992464;0.991724;0.995094;0.50155;0.50203;0.5013;0.50155;0.501215;0.528736;0.50155;0.501861;0.501259;0.50155;0.500871;0.503737
FPM_DISTRIBUTION_False;0.007536;0.008046;0.005724;0.5037;0.504745;0.503156;0.5037;0.503432;0.525452;0.5037;0.50426;0.503175;0.5037;0.504435;0.50133
FPM_DISTRIBUTION_True;0.992464;0.991954;0.994276;0.4963;0.495255;0.496844;0.4963;0.496568;0.474548;0.4963;0.49574;0.496825;0.4963;0.495565;0.49867
INTEREST_fixed;0.003768;0.002989;0.006541;0.33051;0.330958;0.330277;0.33051;0.330576;0.325123;0.33051;0.329852;0.331126;0.33051;0.330656;0.330039
INTEREST_nominal;0.003768;0.003908;0.003271;0.3336;0.336653;0.33201;0.3336;0.333927;0.307061;0.3336;0.333843;0.333372;0.3336;0.333997;0.33232
INTEREST_real;0.992464;0.993103;0.990188;0.33589;0.332389;0.337713;0.33589;0.335496;0.367816;0.33589;0.336305;0.335502;0.33589;0.335347;0.337641
POLICIES_buy;0.060291;0.064368;0.045789;0.24895;0.670473;0.029442;0.24895;0.248719;0.267652;0.24895;0.247187;0.2506;0.24895;0.313177;0.041936
POLICIES_no_policy;0.819128;0.811034;0.847915;0.24795;0.232135;0.256186;0.24795;0.247991;0.244663;0.24795;0.250579;0.245489;0.24795;0.272992;0.167237
POLICIES_rent;0.060291;0.063678;0.048242;0.25355;0.097392;0.334869;0.25355;0.253842;0.229885;0.25355;0.253785;0.25333;0.25355;0.230002;0.329448
POLICIES_wage;0.060291;0.06092;0.058054;0.24955;0;0.379503;0.24955;0.249448;0.2578;0.24955;0.248449;0.250581;0.24955;0.183829;0.461379
PROCESSING_ACPS_BELEM;0.000359;0.00046;0;0.0351;0.040359;0.032362;0.0351;0.034986;0.044335;0.0351;0.036524;0.033767;0.0351;0.036111;0.031843
PROCESSING_ACPS_BELO HORIZONTE;0.0192;0.01977;0.017171;0.03513;0.000321;0.053257;0.03513;0.035077;0.039409;0.03513;0.035635;0.034658;0.03513;0.02855;0.056337
PROCESSING_ACPS_BRASILIA;0.908487;0.909195;0.905969;0.03361;0.054785;0.022583;0.03361;0.033549;0.038588;0.03361;0.033111;0.034077;0.03361;0.036936;0.022889
PROCESSING_ACPS_CAMPINAS;0.0192;0.018621;0.021259;0.03449;0.000175;0.052359;0.03449;0.034561;0.028736;0.03449;0.035304;0.033728;0.03449;0.029022;0.052114
PROCESSING_ACPS_CAMPO GRANDE;0.000359;0.00046;0;0.03493;0.03481;0.034992;0.03493;0.034986;0.030378;0.03493;0.034621;0.035219;0.03493;0.035023;0.03463
PROCESSING_ACPS_CUIABA;0.000359;0.00046;0;0.0345;0.039307;0.031997;0.0345;0.034531;0.03202;0.0345;0.035035;0.033999;0.0345;0.035495;0.031294
PROCESSING_ACPS_FEIRA DE SANTANA;0.000359;0.00046;0;0.03568;0.037847;0.034551;0.03568;0.035624;0.04023;0.03568;0.036193;0.0352;0.03568;0.0356;0.035939
PROCESSING_ACPS_FORTALEZA;0.0192;0.02;0.016353;0.03588;0.025932;0.04106;0.03588;0.035847;0.038588;0.03588;0.035655;0.03609;0.03588;0.031761;0.049157
PROCESSING_ACPS_ILHEUS - ITABUNA;0.000359;0.00046;0;0.03413;0.040067;0.031039;0.03413;0.034136;0.033662;0.03413;0.034828;0.033477;0.03413;0.035613;0.029351
PROCESSING_ACPS_IPATINGA;0.000359;0.00023;0.000818;0.03312;0.032766;0.033304;0.03312;0.033255;0.022167;0.03312;0.032677;0.033535;0.03312;0.033084;0.033236
PROCESSING_ACPS_JOAO PESSOA;0.000359;0.00046;0;0.03455;0.038373;0.032559;0.03455;0.03452;0.036946;0.03455;0.034249;0.034832;0.03455;0.035888;0.030238
PROCESSING_ACPS_JOINVILLE;0.000359;0.00046;0;0.03417;0.034022;0.034247;0.03417;0.034207;0.031199;0.03417;0.034249;0.034096;0.03417;0.03408;0.034461
PROCESSING_ACPS_JUNDIAI;0.000359;0.00046;0;0.03428;0.036066;0.03335;0.03428;0.034247;0.036946;0.03428;0.035221;0.033399;0.03428;0.034551;0.033405
PROCESSING_ACPS_LONDRINA;0.000359;0.00023;0.000818;0.03475;0.038957;0.032559;0.03475;0.034682;0.04023;0.03475;0.03458;0.034909;0.03475;0.035377;0.032729
PROCESSING_ACPS_MACEIO;0.000359;0.00046;0;0.03476;0.04068;0.031677;0.03476;0.034794;0.03202;0.03476;0.035055;0.034483;0.03476;0.035783;0.031462
PROCESSING_ACPS_MANAUS;0.000359;0.00046;0;0.03462;0.039074;0.032301;0.03462;0.034743;0.024631;0.03462;0.033877;0.035316;0.03462;0.036346;0.029055
PROCESSING_ACPS_MARINGA;0.000359;0;0.001635;0.03483;0.039366;0.032468;0.03483;0.034804;0.036946;0.03483;0.034807;0.034851;0.03483;0.035626;0.032265
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.000359;0;0.001635;0.03485;0.038373;0.033015;0.03485;0.034855;0.034483;0.03485;0.0346;0.035084;0.03485;0.035469;0.032856
PROCESSING_ACPS_PORTO ALEGRE;0.0192;0.017931;0.023712;0.03398;0.024501;0.038916;0.03398;0.034095;0.024631;0.03398;0.033877;0.034077;0.03398;0.03087;0.044005
PROCESSING_ACPS_RECIFE;0.000359;0.00023;0.000818;0.03506;0.030196;0.037593;0.03506;0.035077;0.033662;0.03506;0.033628;0.0364;0.03506;0.034538;0.036741
PROCESSING_ACPS_SALVADOR;0.000359;0.00046;0;0.03336;0.027568;0.036376;0.03336;0.033275;0.04023;0.03336;0.033235;0.033477;0.03336;0.033294;0.033574
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.000359;0.00023;0.000818;0.0347;0.040213;0.031829;0.0347;0.034723;0.032841;0.0347;0.034352;0.035026;0.0347;0.035482;0.03218
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.000359;0.00046;0;0.03461;0.039103;0.03227;0.03461;0.034622;0.033662;0.03461;0.03398;0.0352;0.03461;0.03539;0.032096
PROCESSING_ACPS_SAO LUIS;0.000359;0.00046;0;0.03442;0.038139;0.032483;0.03442;0.034369;0.038588;0.03442;0.033794;0.035006;0.03442;0.035338;0.031462
PROCESSING_ACPS_SAO PAULO;0.000359;0.00023;0.000818;0.03356;0.030167;0.035327;0.03356;0.033508;0.037767;0.03356;0.034352;0.032818;0.03356;0.033228;0.03463
PROCESSING_ACPS_SOROCABA;0.000359;0.00046;0;0.03451;0.039921;0.031692;0.03451;0.03447;0.037767;0.03451;0.034063;0.034929;0.03451;0.035128;0.032518
PROCESSING_ACPS_TERESINA;0.000359;0.00046;0;0.03494;0.039395;0.03262;0.03494;0.034956;0.033662;0.03494;0.035262;0.034638;0.03494;0.036294;0.030576
PROCESSING_ACPS_UBERLANDIA;0.000359;0;0.001635;0.03371;0.04068;0.03008;0.03371;0.033812;0.025452;0.03371;0.03367;0.033748;0.03371;0.035193;0.028929
PROCESSING_ACPS_VITORIA;0.000359;0.00023;0.000818;0.03377;0.03884;0.03113;0.03377;0.03369;0.04023;0.03377;0.033566;0.033961;0.03377;0.034931;0.030027
STARTING_DAY_2000-01-01;0.015073;0.014483;0.017171;0.49948;0.551821;0.472223;0.49948;0.499463;0.500821;0.49948;0.501655;0.497444;0.49948;0.540638;0.366823
STARTING_DAY_2010-01-01;0.984927;0.985517;0.982829;0.50052;0.448179;0.527777;0.50052;0.500537;0.499179;0.50052;0.498345;0.502556;0.50052;0.459362;0.633177
T_LICENSES_PER_REGION_False;0.003768;0.003908;0.003271;0.33667;0.336565;0.336725;0.33667;0.33661;0.341544;0.33667;0.334257;0.338929;0.33667;0.33667;0.33667
T_LICENSES_PER_REGION_True;0.003768;0.003678;0.004088;0.33217;0.331513;0.332512;0.33217;0.332277;0.323481;0.33217;0.328487;0.335618;0.33217;0.333132;0.329068
T_LICENSES_PER_REGION_random;0.992464;0.992414;0.992641;0.33116;0.331922;0.330763;0.33116;0.331113;0.334975;0.33116;0.337256;0.325453;0.33116;0.330197;0.334262
WAGE_IGNORE_UNEMPLOYMENT_False;0.996232;0.995862;0.997547;0.49857;0.497795;0.498973;0.49857;0.498482;0.505747;0.49857;0.496174;0.500813;0.49857;0.497137;0.503188
WAGE_IGNORE_UNEMPLOYMENT_True;0.003768;0.004138;0.002453;0.50143;0.502205;0.501027;0.50143;0.501518;0.494253;0.50143;0.503826;0.499187;0.50143;0.502863;0.496812
